ident,name,type,latitude,longitude,country code,airport
JACW,JACOB'S WELL,VFR,-32.0333333,117.2,AU,
JMPP,JAMES PRICE POINT,VFR,-17.485,122.1436111,AU,
JADL,JARRAHDALE,VFR,-32.34,116.075,AU,
JCK,JAY CREEK,VFR,-23.7866667,133.5,AU,
JEA,JEANNIE RIVER,VFR,-14.7333333,144.8666667,AU,
JES,JESSIE GAP,VFR,-23.7486111,134.0180556,AU,
JIBN,JIBBON PT,VFR,-34.085,151.17,AU,
JIA,JINDERA,VFR,-35.9583333,146.8875,AU,
JDN,JONDARYAN,VFR,-27.3666667,151.5875,AU,
JGK,JUG CREEK,VFR,-22.0,144.7,AU,
JPP,JUMPINPIN,VFR,-27.7333333,153.45,AU,
JUP,JUPITERS CASINO,VFR,-28.0325,153.4294444,AU,
KKN,KAIMKILLENBUN,VFR,-27.0666667,151.4333333,AU,
KAO,KALKALLO,VFR,-37.5366667,144.945,AU,
KTS,KEATS ISLAND,VFR,-9.6833333,143.45,AU,
KERW,KEERWEE,VFR,-25.2166667,151.35,AU,
KALL,KENDALL,VFR,-14.2,141.6,AU,
